rank,es_word,es_sentence,fr_word,fr_sentence
2467,mito,"el mito es una explicación imaginativa y fantástica del hombre",mythe,"le mythe est une explication imaginative et fantastique de l'homme"
2468,oscuridad,"brillaron en la oscuridad como luces de desafío",obscurité,"ils ont brillé dans l'obscurité comme des lumières de défi"
2469,pensión,"vivía en una pensión con actrices y bohemios",pension,"il vivait dans une pension avec des actrices et des bohémiens"
2470,desaparición,"notaban mi desaparición y mi regreso",disparition,"ils remarquaient ma disparition et mon retour"
2471,repetido,"hablé con él en repetidas ocasiones",répété,"j'ai parlé avec lui à plusieurs reprises"
2472,fumar,"en vez de fumar, masca el tabaco",fumer,"au lieu de fumer, il mâche du tabac"
2473,envuelto,"la abrió y sacó el objeto envuelto en papel",emballé,"il l'a ouverte et a sorti l'objet enveloppé dans du papier"
2474,especializar,"bueno, uno se especializa en letras o en biología o matemáticas",spécialiser,"eh bien, on se spécialise en lettres ou en biologie ou en mathématiques"
2475,últimamente,"últimamente el frío de la noche nos ha matado",dernièrement,"dernièrement, le froid de la nuit nous a tués"
2476,caracterizar,"el egoísmo innato que caracteriza a la raza humana",caractériser,"l'égoïsme inné qui caractérise la race humaine"
2477,paralelo,"donde las líneas paralelas se representan como convergentes",parallèle,"où les lignes parallèles sont représentées comme convergentes"
2478,ordinario,"pero qué ordinario, ¿cómo es que le dice eso a una mujer?",ordinaire,"mais quelle vulgarité, comment peut-il dire ça à une femme ?"
2479,designar,"se designa con el nombre de mixed border",désigner,"on le désigne sous le nom de mixed border"
2480,bloque,"la integración de sus miembros en un bloque económico regional",bloc,"l'intégration de ses membres dans un bloc économique régional"
2481,cierre,"hasta que el cierre de la mochila revienta y vuela el contenido",fermeture,"jusqu'à ce que la fermeture du sac à dos éclate et que le contenu s'envole"
2482,broma,"puede ser una cruel broma de mis compañeros de niñez",blague,"peut-être une cruelle blague de mes camarades d'enfance"
2483,viernes,"trabajé toda la semana y el viernes cambié un mísero cheque en el banco",vendredi,"j'ai travaillé toute la semaine et le vendredi, j'ai changé un chèque misérable à la banque"
2484,creciente,"con una tendencia todavía claramente creciente",croissante,"avec une tendance encore clairement croissante"
2485,tumba,"la viuda se sentó al borde de la tumba",tombe,"la veuve s'est assise au bord de la tombe"
2486,competir,"sabe que tiene que competir con calidad y variedad",concurrencer,"il sait qu'il doit concurrencer avec qualité et variété"
2487,despacho,"ayer entró el expediente de divorcio en el despacho del juez",bureau,"hier, le dossier de divorce est entré dans le bureau du juge"
2488,viuda,"ella es la viuda del hombre desaparecido",veuve,"elle est la veuve de l'homme disparu"
2489,pantalón,"hoy he ido con pantalones cortos, a jugar al tenis",pantalon,"aujourd'hui, je suis allé en short, jouer au tennis"
2490,intercambio,"un club internacional de intercambio de postales antiguas",échange,"un club international d'échange de cartes postales anciennes"
2491,mancha,"es una mancha que no sale con el detergente",tache,"c'est une tache qui ne part pas avec le détergent"
2492,retrato,"las facetas de la pintura goyesca: el retrato, y el arte religioso",portrait,"les facettes de la peinture goyesque : le portrait et l'art religieux"
2493,lata,"es que al abrir la lata de sopa Campbell's",boîte,"c'est quand on ouvre la boîte de soupe Campbell's"
2494,combate,"los Habsburgo españoles abandonaron el combate contra el turco",combat,"les Habsbourg espagnols abandonnèrent le combat contre les Turcs"
2495,instancia,"pero en última instancia, lo que te llena, lo que te llena",instance,"mais en dernière instance, ce qui te remplit, ce qui te remplit"
2496,secar,"se secó el sudor de la frente con un pañuelo",sécher,"il a essuyé la sueur de son front avec un mouchoir"
2497,roca,"se trata de una roca de basalto olivino, de unas 25 toneladas",roche,"il s'agit d'une roche de basalte olivine, d'environ 25 tonnes"
2498,herramienta,"la brújula magnética sirve como una herramienta direccional",outil,"la boussole magnétique sert d'outil directionnel"
2499,anónimo,"me siento anónimo; siempre soy un desconocido",anonyme,"je me sens anonyme ; je suis toujours un inconnu"
2500,panorama,"cuando tenía ante la vista un magnífico panorama de ilusiones",panorama,"quand j'avais devant moi un magnifique panorama d'illusions"
2501,trágico,"luego fue el trágico accidente del helicóptero",tragique,"ensuite, ce fut le tragique accident de l'hélicoptère"
2502,imprimir,"imprimió una copia, la empaquetó y se la mandó a su editor",imprimer,"elle a imprimé une copie, l'a emballée et l'a envoyée à son éditeur"
2503,camión,"viajamos de México hasta Chicago en camión",camion,"nous avons voyagé de Mexico à Chicago en camion"
2504,olvido,"no podrán actuar sobre la memoria ni el olvido",oubli,"ils ne pourront agir ni sur la mémoire ni sur l'oubli"
2505,estrategia,"hay que desarrollar una estrategia de alianzas y de pactos",stratégie,"il faut développer une stratégie d'alliances et de pactes"
2506,muchacha,"yo era una muchacha de diecinueve años, nada más",jeune fille,"j'avais dix-neuf ans, rien de plus"
2507,conversar,"iban a tomar el té y a conversar de libros",converser,"ils allaient prendre le thé et discuter de livres"
2508,propaganda,"una fuerte campaña de propaganda ideológica",propagande,"une forte campagne de propagande idéologique"
2509,lamentar,"lamentaba la muerte de mi gran amigo",regretter,"je regrettai la mort de mon grand ami"
2510,misa,"me lo pongo para la misa del domingo",messe,"je le mets pour la messe du dimanche"
2511,alzar,"alzó la cara y tuvo una mirada de pálido desprecio",lever,"elle leva le visage et eut un regard de mépris pâle"
2512,inicio,"es el inicio de una nueva etapa en nuestra vida musical",début,"c'est le début d'une nouvelle étape dans notre vie musicale"
2513,fútbol,"y las actividades deportivas, como el fútbol",football,"et les activités sportives, comme le football"
2514,esfera,"en el año 966 Polonia entró en la esfera de la cultura cristiana",sphère,"en l'an 966, la Pologne entra dans la sphère de la culture chrétienne"
2515,iluminar,"un rayo de sol poniente vino a iluminar el viejo crucifijo",éclairer,"un rayon de soleil couchant vint éclairer le vieux crucifix"
2516,arquitectura,"alquiló un lugar, con una arquitectura verdaderamente fascinante",architecture,"elle a loué un endroit, avec une architecture vraiment fascinante"
2517,especialidad,"le preguntan sobre su especialidad y profesión",spécialité,"on lui demande sa spécialité et sa profession"
2518,músico,"una marcha de Souza, el músico favorito del pueblo americano",musicien,"une marche de Sousa, le musicien préféré du peuple américain"
2519,relativamente,"esta distinción es relativamente reciente; no es anterior al siglo XIX",relativement,"cette distinction est relativement récente ; elle ne remonte pas au-delà du XIXe siècle"
2520,eh,"te interesa la palabra, ¿eh?",hein,"la parole t'intéresse, hein ?"
2521,eje,"atraviesan el eje de rotación de la Tierra",axe,"ils traversent l'axe de rotation de la Terre"
2522,guiar,"es tratar de guiar nuestro destino hacia lugares más cuerdos",guider,"c'est essayer de guider notre destin vers des endroits plus sains"
2523,efectuar,"no se atrevía a efectuar ningún movimiento",effectuer,"elle n'osait pas effectuer le moindre mouvement"
2524,abandono,"delitos como abandonos, explotación de niños, y malos tratos",abandon,"des délits tels que l'abandon, l'exploitation des enfants et les mauvais traitements"
2525,museo,"se construyó un museo de arte moderno",musée,"on a construit un musée d'art moderne"
2526,propietario,"el propietario de la joyería ha sufrido un robo",propriétaire,"le propriétaire de la bijouterie a été victime d'un vol"
2527,trozo,"le corta en pedacitos un trozo de carne y para que los coma",morceau,"elle lui coupe en petits morceaux un morceau de viande pour qu'il le mange"
2542,nave,"la nave espacial Apolo, en su misión a la Luna",vaisseau,"le vaisseau spatial Apollo lors de sa mission sur la Lune"
2543,oración,"rezando la oración milagrosa con que imploraba piedad a la Virgen",prière,"priant la prière miraculeuse par laquelle elle implorait la clémence de la Vierge"
2544,cansancio,"cuando el sol ya se pierde y el cansancio me pone a dormir",fatigue,"quand le soleil disparaît déjà et que la fatigue me fait m'endormir"
2528,riguroso,"hacer una dieta rigurosa y escasa de grasas",rigoureux,"suivre un régime rigoureux et pauvre en graisses"
2545,noble,"la vida no es noble, ni buena, ni sagrada",noble,"la vie n'est ni noble, ni bonne, ni sacrée"
2529,armonía,"el busca su armonía espiritual en la naturaleza",harmonie,"il cherche son harmonie spirituelle dans la nature"
2530,pacto,"para establecer un pacto de no agresión entre ambos estados",pacte,"pour établir un pacte de non-agression entre les deux États"
2531,calentar,"mucho se van a calentar, junto a la chimenea apagada",chauffer,"ils vont beaucoup se réchauffer, près de la cheminée éteinte"
2532,atento,"caminaba con fatiga, demasiado vigilante para estar atento",attentif,"il marchait avec fatigue, trop vigilant pour être attentif"
2533,selección,"la selección musical es excelente, pasan temas suaves",sélection,"la sélection musicale est excellente, des morceaux doux passent"
2534,proseguir,"permanecí un rato más para proseguir la conversación",poursuivre,"je suis resté un moment de plus pour poursuivre la conversation"
2535,incómodo,"incluso estar alojando en saco de dormir, incómodo",inconfortable,"même loger dans un sac de couchage, inconfortable"
2536,protagonista,"era la cruel protagonista de su propia historia",protagoniste,"elle était la cruelle protagoniste de sa propre histoire"
2537,ferrocarril,"puentes y túneles, vías de ferrocarril, caminos, carreteras",chemin de fer,"ponts et tunnels, voies ferrées, chemins, routes"
2538,inocente,"sé que parece muy inocente y muy pura",innocent,"je sais que ça semble très innocent et très pur"
2539,fatal,"la fatal decisión de poner fin a su existencia",fatal,"la décision fatale de mettre fin à son existence"
2540,intimidad,"le gusta la soledad y guarda celosamente la intimidad",intimité,"elle aime la solitude et garde jalousement son intimité"
2541,enfrente,"estamos en un parque enfrente de la escuela",en face,"nous sommes dans un parc en face de l'école"
2546,escondido,"como estaban escondidos, no pudimos verlos",caché,"comme ils étaient cachés, nous n'avons pas pu les voir"
2547,tejido,"en lana de colores sobre un tejido de fondo de lino",tissu,"en laine colorée sur un tissu de fond en lin"
2548,trampa,"sino a la vida natural, normal, es decir, a no hacer trampa",piège,"mais à la vie naturelle, normale, c'est-à-dire sans tricher"
2549,hondo,"hay algo muy hondo que se conmueve con la música",profond,"il y a quelque chose de très profond qui est ému par la musique"
2550,descripción,"¿podría hacer una descripción del pueblecito ese?",description,"pourriez-vous faire une description de ce petit village ?"
2551,pecado,"¿de manera que nada del pecado de la fornicación, eh?",péché,"donc rien du péché de la fornication, hein ?"
2552,cansar,"se fue porque se cansó de don Juan, ya no le aguantaba",lasser,"elle est partie parce qu'elle s'est lassée de don Juan, elle ne le supportait plus"
2553,divertido,"ahí tengo una foto muy divertida donde yo estaba toreando",amusant,"j'ai là une photo très amusante où je faisais la tauromachie"
2554,injusticia,"como un hombre ante la adversidad, contra la injusticia y la tiranía",injustice,"comme un homme face à l'adversité, contre l'injustice et la tyrannie"
2555,heredar,"mi madre heredó la casa de su padre",hériter,"ma mère a hérité de la maison de son père"
2556,librar,"les asignaba la sagrada misión de librar al pueblo",délivrer,"elle leur confiait la mission sacrée de délivrer le peuple"
2557,adiós,"¡Adiós, hasta luego, Marisa!",adieu,"Adieu, à bientôt, Marisa !"
2558,brillar,"esperaba ver brillar ese diamante lujoso",briller,"elle espérait voir briller ce diamant luxueux"
2559,rescatar,"para rescatar a una menor secuestrada",sauver,"pour sauver une mineure kidnappée"
2560,tabaco,"suelo fumar mi pipa con tabaco barato",tabac,"j'ai l'habitude de fumer ma pipe avec du tabac bon marché"
2561,juvenil,"su mente juvenil no estaba preparada para asimilar tantos axiomas",juvénile,"son esprit juvénile n'était pas prêt à assimiler autant d'axiomes"
2562,ausente,"el cuerpo vacío; mi cabeza vacía; el corazón ausente",absent,"le corps vide ; ma tête vide ; le cœur absent"
2563,suceso,"el suceso le había ocurrido poco antes de caer enfermo",événement,"l'événement lui était arrivé peu de temps avant de tomber malade"
2564,extrañar,"me iba a extrañar porque se había acostumbrado a mis visitas",s'ennuyer de,"elle allait s'ennuyer de moi car elle s'était habituée à mes visites"
2565,asustar,"le gritó sólo para asustar a su hermanito",effrayer,"elle lui a crié juste pour effrayer son petit frère"
2566,mediado,"más o menos a mediados de abril volví del trabajo",vers le milieu,"à peu près vers le milieu d'avril, je suis rentré du travail"
2567,antecedente,"puede considerarse como un antecedente de las guías actuales",antécédent,"on peut le considérer comme un antécédent des guides actuelles"
2568,barrera,"apareció una barrera que impidió el paso",barrière,"une barrière est apparue et a bloqué le passage"
2569,estético,"¿tiene usted un credo estético como director?",esthétique,"avez-vous une croyance esthétique en tant que directeur ?"
2570,anotar,"y anotar en el primer papel en blanco que encontró",noter,"et noter sur le premier morceau de papier blanc qu'elle trouva"
2571,tribunal,"este es el tribunal que nos va a juzgar",tribunal,"c'est le tribunal qui va nous juger"
2572,bravo,"el león no es tan bravo como lo pintan",brave,"le lion n'est pas aussi brave qu'on le dit"
2573,invasión,"en la guerra de la Independencia contra la invasión napoleónica",invasion,"pendant la guerre d'indépendance contre l'invasion napoléonienne"
2574,septiembre,"antes de empezar en septiembre las clases",septembre,"avant le début des cours en septembre"
2575,dependencia,"la dependencia económica de estos países con respecto a la URSS",dépendance,"la dépendance économique de ces pays à l'égard de l'URSS"
2576,democracia,"buscan la democracia y una auténtica representatividad",démocratie,"ils recherchent la démocratie et une représentativité authentique"
2577,sutil,"ella es capaz de percibir una sutil diferencia entre ambos sonidos",subtile,"elle est capable de percevoir une subtile différence entre les deux sons"
2578,maduro,"la persona ya madura la comprende mejor que el joven",mûr,"la personne déjà mûre la comprend mieux que le jeune"
2579,mezclado,"porque iba mezclada con algo confusamente siniestro y oscuro",mélangé,"parce qu'elle était mélangée avec quelque chose de confusément sinistre et sombre"
2580,remontar,"su origen se remonta al principio de los siglos",remonte,"son origine remonte au début des siècles"
2581,limitación,"un hombre con grandes sueños pero obvias limitaciones",limitation,"un homme avec de grands rêves mais des limitations évidentes"
2582,lindo,"es un lindo regalo, creo yo",joli,"c'est un joli cadeau, je pense"
2583,invitado,"servir a los invitados es el deber de toda dueña de casa",invité,"servir les invités est le devoir de toute maîtresse de maison"
2584,pescado,"una especie de sopa de pescado con muchos mariscos",poisson,"une sorte de soupe de poisson avec beaucoup de fruits de mer"
2585,continuamente,"que su nombre inmortal vibre continuamente en nuestros labios",continuellement,"que son nom immortel résonne continuellement sur nos lèvres"
2586,obvio,"era obvio que I. no iba a matarme",évident,"il était évident que I. ne me tuerait pas"
2587,obstáculo,"había logrado vencer el único obstáculo que me separaba del evento",obstacle,"elle avait réussi à surmonter le seul obstacle qui me séparait de l'événement"
2588,aspiración,"su mayor aspiración es que se logre resolver la situación",aspiration,"sa plus grande aspiration est que la situation soit résolue"
2589,simpático,"era muy simpática, muy divertida, muy alegre",sympathique,"elle était très sympathique, très amusante, très joyeuse"
2590,corredor,"el empleo más detestable del orbe: corredor de propiedades",agent immobilier,"le métier le plus détestable du monde : agent immobilier"
2591,exquisito,"este perfume era exquisito y su frasco también inolvidable",exquis,"ce parfum était exquis et son flacon inoubliable aussi"
2592,resumen,"concedió una larga entrevista; éste es un resumen de la conversación",résumé,"elle a accordé une longue interview ; voici un résumé de la conversation"
2593,basura,"se dedica a recoger basura en la playa",ordures,"elle se consacre à ramasser des ordures sur la plage"
2594,escalera,"bajaban por la escalera del segundo piso",escalier,"ils descendaient par l'escalier du deuxième étage"
2608,sal,"le echo la sal, ajo, cebolla, pimienta, y el orégano",sel,"je mets du sel, de l'ail, de l'oignon, du poivre, et de l'origan"
2609,dosis,"se le han aplicado dos dosis de morfina para el dolor de la gangrena",dose,"on lui a administré deux doses de morphine pour la douleur de la gangrène"
2610,acento,"canta en español pero con acento inglés",accent,"elle chante en espagnol mais avec un accent anglais"
2611,aviso,"sin previo aviso de algún trueno o relámpago, comenzó a llover",avertissement,"sans avertissement préalable d'un tonnerre ou d'un éclair, il a commencé à pleuvoir"
2601,derrota,"le infligió una derrota a su enemigo",défaite,"elle inflige une défaite à son ennemi"
2602,sospecha,"vivió con la sospecha de que alguien lo observaba",soupçon,"il a vécu avec le soupçon que quelqu'un l'observait"
2603,exagerado,"porque 4 contra 40 mil es un poco exagerado",exagéré,"parce que 4 contre 40 000, c'est un peu exagéré"
2604,huelga,"se puso en huelga de hambre durante diez días",grève,"il a fait la grève de la faim pendant dix jours"
2605,abuso,"esto era inhumano, un evidente abuso de autoridad",abus,"c'était inhumain, un abus évident de l'autorité"
2606,jueves,"aquí el jueves es el día de moda, el domingo no se trabaja",jeudi,"ici, jeudi est le jour à la mode, le dimanche on ne travaille pas"
2607,arreglo,"tienen un arreglo entre ellos; documentos firmados tienen",arrangement,"ils ont un arrangement entre eux ; des documents signés"
2612,lazo,"para desanudar el lazo que me estrangula",lien,"pour dénouer le lien qui m'étrangle"
2613,conservador,"yo antes era liberal y me he convertido en conservador",conservateur,"avant, j'étais libéral et je suis devenu conservateur"
2614,entorno,"sumamente susceptible a las influencias del entorno musical",environnement,"extrêmement sensible aux influences de l'environnement musical"
2615,nieto,"R. es el nieto del abuelo",petit-fils,"R. est le petit-fils du grand-père"
2616,príncipe,"el heredero es su hijo mayor, Carlos, príncipe de Gales",prince,"l'héritier est son fils aîné, Carlos, prince de Galles"
2617,imprescindible,"dispensable• es absolutamente imprescindible contar",indispensable,"indispensable• il est absolument indispensable de compter"
2618,mediodía,"deban celebrarse a mediodía o a primera hora de la tarde",midi,"devraient avoir lieu à midi ou en début d'après-midi"
2619,gota,"el médico dijo que no me quedaba una gota de sangre en el cuerpo",goutte,"le médecin a dit qu'il ne me restait pas une goutte de sang dans le corps"
2620,cajón,"tuvo gran dificultad en poner la llave en el cajón del escritorio",tiroir,"il a eu beaucoup de mal à mettre la clé dans le tiroir du bureau"
2621,generalizar,"en 1915, Einstein generalizó su hipótesis",généraliser,"en 1915, Einstein a généralisé son hypothèse"
2622,señorita,"quedó viuda muy joven, o sea, prácticamente una señorita solterona",demoiselle,"elle est devenue veuve très jeune, c'est-à-dire pratiquement une demoiselle célibataire"
2623,preferencia,"yo tenía preferencia por los criminales y no por las víctimas",préférence,"j'avais une préférence pour les criminels et non pour les victimes"
2624,habitar,"la casa donde habita una mujer es un hogar",habiter,"la maison où habite une femme est un foyer"
2625,pozo,"se encontraba un pozo de donde los monjes recogían agua",puits,"il y avait un puits d'où les moines puisaient de l'eau"
2626,rumor,"más rumores no confirmados e información caótica",rumeur,"plus de rumeurs non confirmées et d'informations chaotiques"
2627,armar,"se armaban con cañones en el castillo",armer,"ils se munissaient de canons dans le château"
2628,concurso,"el cuento ganó un primer premio en un concurso latinoamericano",concours,"le conte a remporté le premier prix lors d'un concours latino-américain"
2629,tesoro,"las mil llaves de oro de las estrellas, como un tesoro intocable . . .",trésor,"les mille clés d'or des étoiles, comme un trésor intouchable . . ."
2630,presupuesto,"hay un presupuesto de doscientos millones anuales para el edificio",budget,"il y a un budget de deux cents millions par an pour le bâtiment"
2631,rural,"ha cambiado de una población rural a una población urbana",rural,"il est passé d'une population rurale à une population urbaine"
2632,vigilancia,"su casa quedaría sin vigilancia y era seguro que alguien entraría",surveillance,"sa maison serait sans surveillance et il était sûr que quelqu'un entrerait"
2640,determinación,"ella lo rechazó con una determinación inflexible",détermination,"elle l'a rejeté avec une détermination inflexible"
2641,reforma,"para llevar a cabo la reforma agraria",réforme,"pour mener à bien la réforme agraire"
2642,bruto,"es un bestia, un bestia bruto",brut,"c'est une bête, une brute brute"
2643,verso,"escribió el último verso del último poema de su último libro",vers,"il a écrit le dernier vers du dernier poème de son dernier livre"
2644,requisito,"¿qué es necesario hacer?, ¿qué requisitos? // Bueno, cinco años de estudio",requisit,"que faut-il faire ?, quelles sont les conditions ? // Eh bien, cinq ans d'études"
2645,adolescente,"se llevó a cabo con aquellos jóvenes, adolescentes, niñas y varones",adolescent,"elle a eu lieu avec ces jeunes, adolescents, filles et garçons"
2646,sentimental,"soy una tonta sentimental en respecto al amor",sentimental,"je suis une sentimentale idiote en ce qui concerne l'amour"
2647,herido,"tenía el corazón herido, y se estaba muriendo",blessé,"il avait le cœur blessé et il était en train de mourir"
2648,kilo,"ahora no como, estoy veinticinco kilos debajo de mi peso",kilo,"maintenant, je ne mange pas, je suis vingt-cinq kilos en dessous de mon poids"
2649,alargar,"luego el embrión humano comienza a alargarse",allonger,"ensuite, l'embryon humain commence à s'allonger"
2633,supremo,"el Ser Supremo que nos ha creado y dado un alma",suprême,"le Être Suprême qui nous a créés et nous a donné une âme"
2634,confuso,"estaba demasiado confuso para tomar una decisión",confus,"il était trop confus pour prendre une décision"
2635,presa,"se forma una pequeña presa; también se pueden formar lagos",barrage,"un petit barrage se forme ; on peut aussi former des lacs"
2636,estómago,"comenzó a sentir unos fuertes dolores en el estómago y a vomitar",estomac,"elle a commencé à ressentir de fortes douleurs à l'estomac et à vomir"
2637,anular,"en apelar a las autoridades eclesiásticas para anular su matrimonio",annuler,"en faisant appel aux autorités ecclésiastiques pour annuler son mariage"
2638,decisivo,"jugó un papel decisivo en la ejecución de la revolución",décisif,"il a joué un rôle décisif dans l'exécution de la révolution"
2639,bola,"como si la pelota fuera una bola de cristal",boule,"comme si la balle était une boule de cristal"
2650,conquista,"se buscaba unificar ambos imperios e intentar la conquista de Europa",conquête,"on cherchait à unifier les deux empires et à tenter la conquête de l'Europe"
2651,luminoso,"un cielo luminoso y claro",lumineux,"un ciel lumineux et clair"
2652,particularmente,"los problemas eran particularmente los de su época",particulièrement,"les problèmes étaient particulièrement ceux de son époque"
2653,ﬁlósofo,"Hegel (1770-1813), filósofo alemán, máximo representante del idealismo",philosophe,"Hegel (1770-1813), philosophe allemand, représentant maximal de l'idéalisme"
2654,genio,"no poseemos la brillante palabra, el genio poético",génie,"nous ne possédons pas le mot brillant, le génie poétique"
2655,sucesión,"la historia de Italia es una sucesión de caídas de reyes sin importancia",succession,"l'histoire de l'Italie est une succession de chutes de rois sans importance"
2656,componente,"los quarks son los componentes fundamentales de la materia",composant,"les quarks sont les composants fondamentaux de la matière"
2657,transparente,"todo esto es público y transparente",transparent,"tout cela est public et transparent"
2658,sufrimiento,"había llevado mucho dolor y sufrimiento y muerte",souffrance,"il avait enduré beaucoup de douleur, de souffrance et de mort"
2659,aparente,"no hay ningún tipo de cambio aparente o visible",apparent,"il n'y a aucun changement apparent ou visible"
2660,entidad,"el comienzo de nuestro país como entidad autónoma",entité,"le début de notre pays en tant qu'entité autonome"
2661,saludo,"Saludos, Juanjo. // Muy buenos días, José Luis",salutation,"Salutations, Juanjo. // Bonjour, José Luis"
2662,estimular,"yo no escribo para estimular la imaginación de nadie",stimuler,"je n'écris pas pour stimuler l'imagination de quiconque"
2663,certeza,"no sabía con certeza cuánto tiempo estaba perdida",certitude,"je ne savais pas avec certitude combien de temps j'étais perdu"
2664,depósito,"él lo utilizaba como depósito para guardar los libros viejos",dépôt,"il l'utilisait comme dépôt pour stocker les vieux livres"
2665,húmedo,"bajé las ventanillas y entró un aire húmedo",humide,"j'ai baissé les fenêtres et de l'air humide est entré"
2666,pasillo,"nos encontrábamos en un pasillo estrecho, de unos quince metros",couloir,"nous étions dans un couloir étroit, d'environ quinze mètres"
2667,pisar,"un día pisó los bordes del vasto misterio forestal",marcher,"un jour, il a marché sur les bords du vaste mystère forestier"
2668,solidaridad,"una armonía basada en la solidaridad de los hombres",solidarité,"une harmonie basée sur la solidarité des hommes"
2669,papa,"el papa Juan Pablo II presidió la ceremonia en la basílica",pape,"le pape Jean-Paul II a présidé la cérémonie à la basilique"
2670,geografía,"desconocen la geografía y las costumbres de los países donde viven",géographie,"ils ignorent la géographie et les coutumes des pays où ils vivent"
2671,leve,"¡no se pierda usted ni el más leve susurro!",léger,"ne manquez pas le moindre murmure !"
2673,violar,"un espectro que viola la serenidad interminable de las dunas",violer,"un spectre qui viole la sérénité infinie des dunes"
2674,chiste,"festejaban cada chiste a las carcajadas",blague,"ils célébraient chaque blague aux éclats de rire"
2675,aprendizaje,"de participación activa del niño en el aprendizaje de la ciencia",apprentissage,"de la participation active de l'enfant à l'apprentissage de la science"
2676,esposo,"no dijiste nada de que habías estado casada ni de tu esposo muerto",mari,"tu n'as rien dit que tu avais été mariée ou que ton mari était mort"
2677,boda,"celebramos la boda con mi mujer, en la iglesia",mariage,"nous avons célébré le mariage avec ma femme, à l'église"
2678,realista,"«El extranjero» no es ni realista ni fantástico",réaliste,"« L'étranger » n'est ni réaliste ni fantastique"
2679,fresco,"me gusta oír los pájaros, sentir el fresco de la mañana",frais,"j'aime écouter les oiseaux, sentir la fraîcheur du matin"
2680,lago,"Thoreau construyó una cabaña al lado del lago de Walden",lac,"Thoreau a construit une cabane près du lac de Walden"
2681,enriquecer,"quedan algunos para enriquecer colecciones muy valiosas",enrichir,"il en reste quelques-uns pour enrichir des collections très précieuses"
2682,prestado,"he tenido que pedir dinero prestado para poder dártelo a ti",emprunté,"j'ai dû emprunter de l'argent pour pouvoir te le donner"
2683,orientación,"echó en una mochila sus instrumentos de orientación y sus mapas",orientation,"elle a mis dans un sac à dos ses instruments d'orientation et ses cartes"
2684,madurez,"para suponer que madurez implica aceptar responsabilidades",maturité,"pour supposer que la maturité implique d'accepter des responsabilités"
2685,adulto,"el desarrollo es completo en todas las hembras adultas",adulte,"le développement est complet chez toutes les femelles adultes"
2686,municipal,"el consejo municipal convocó a una reunión urgente",municipal,"le conseil municipal a convoqué une réunion d'urgence"
2687,demostración,"vení, mi hija; dales una pequeña demostración de tu poder",démonstration,"viens, ma fille ; donne-leur une petite démonstration de ton pouvoir"
2672,juguete,"cuando era chico, el único juguete que tenía era un camión de madera",jouet,"quand j'étais petit, le seul jouet que j'avais était un camion en bois"
2688,fundamentalmente,"sically• esa herencia viene ligada fundamentalmente",fondamentalement,"sically• cet héritage est fondamentalement lié"
2689,alegrar,"y se alegró de verlo libre",réjouir,"et il s'est réjoui de le voir libre"
2690,transportar,"un vehículo que servía para transportar al enfermo",transporter,"un véhicule qui servait à transporter le malade"
2691,cumplimiento,"mplement• con el objeto de implementar el",exécution,"mplement• dans le but d'en assurer l'exécution"
2692,respaldo,"perdió el respaldo de Rusia a causa de su neutralidad durante la guerra",soutien,"il a perdu le soutien de la Russie en raison de sa neutralité pendant la guerre"
2693,superﬁcial,"no tenía más que un conocimiento superficial del idioma",superficiel,"il n'avait qu'une connaissance superficielle de la langue"
2694,dieciocho,"hasta que a los dieciocho años se fue de su hogar",dix-huit,"jusqu'à dix-huit ans, il est parti de chez lui"
2695,incendio,"subió y prendió fuego a una torre, y el incendio destruyó todo",incendie,"il est monté et a mis le feu à une tour, et l'incendie a tout détruit"
2696,dorado,"y adornos de marfil, bronce dorado y cobre",doré,"et des ornements en ivoire, en bronze doré et en cuivre"
2697,triunfar,"donde había triunfado la revolución de los bolcheviques",triompher,"où la révolution des bolcheviks avait triomphé"
2698,joya,"es una auténtica reliquia y una joya artística",joyau,"c'est une véritable relique et un joyau artistique"
2699,favorito,"su metal favorito era el oro",favori,"son métal préféré était l'or"
2700,cementerio,"el día de los muertos todos van al cementerio",cimetière,"le jour des morts, tout le monde va au cimetière"
2701,escolar,"regresaban el final del curso escolar",scolaire,"ils revenaient à la fin de l'année scolaire"
2702,publicación,"por una parte, la catalogación y publicación de documentos",publication,"d'une part, la catalogation et la publication de documents"
2703,variación,"presentan una gran variación en el tamaño y en el peso",variation,"ils présentent une grande variation de taille et de poids"
2704,cálido,"un aire cálido y denso de sudor",chaud,"un air chaud et dense de sueur"
2705,inconsciente,"supone el conocimiento innato, e incluso inconsciente",inconscient,"suppose la connaissance innée, voire inconsciente"
2706,promoción,"tiene por misión la promoción de la salud y la curación de la enfermedad",promotion,"a pour mission la promotion de la santé et la guérison des maladies"
2707,enseguida,"comprenderá enseguida por qué vengo por el patio",tout de suite,"vous comprendrez tout de suite pourquoi je viens par la cour"
2708,mágico,"por medio de ese mágico mundo de imágenes nocturnas",magique,"à travers ce monde magique d'images nocturnes"
2709,sentencia,"el juez confirma una sentencia de culpabilidad",sentence,"le juge confirme une sentence de culpabilité"
2710,amargo,"su ausencia le había dejado un sabor amargo",amer,"son absence lui avait laissé un goût amer"
2711,resolución,"anunció a sus padres su resolución de hacerse ermitaño",résolution,"elle annonça à ses parents sa résolution de devenir ermite"
2712,afortunadamente,"afortunadamente mi mamá me ayudó mucho",heureusement,"heureusement, ma mère m'a beaucoup aidé"
